Id,SalePrice
1461,101867.92
1462,157314.05
1463,192006.6
1464,193493.08
1465,178867.53
1466,156054.4
1467,168930.02
1468,171339.03
1469,176939.14
1470,125085.08
1471,186876.66
1472,97435.58
1473,112244.5
1474,155602.81
1475,127354.35
1476,377756.88
1477,272707.53
1478,329187.78
1479,218546.73
1480,439858.12
1481,298262.75
1482,204468.3
1483,166065.44
1484,165832.88
1485,179058.17
1486,190466.78
1487,286826.12
1488,245478.69
1489,217794.81
1490,195740.19
1491,197907.52
1492,74551.625
1493,182497.72
1494,307664.06
1495,302581.88
1496,235240.25
1497,183897.12
1498,159731.53
1499,145163.03
1500,154704.38
1501,183439.95
1502,145747.81
1503,293043.53
1504,243628.9
1505,224246.95
1506,186924.44
1507,257422.39
1508,158582.11
1509,164592.86
1510,147413.62
1511,145290.11
1512,179548.62
1513,156841.86
1514,198552.61
1515,240475.81
1516,151879.38
1517,148695.61
1518,128631.41
1519,228639.95
1520,130673.62
1521,130678.78
1522,181682.53
1523,121621.46
1524,120272.5
1525,123572.26
1526,121513.55
1527,101778.89
1528,139064.98
1529,151786.23
1530,167434.48
1531,131290.7
1532,107881.7
1533,135739.92
1534,120294.945
1535,157868.16
1536,114016.164
1537,73528.06
1538,138689.14
1539,249452.39
1540,86663.734
1541,136978.77
1542,156952.94
1543,213147.05
1544,72697.83
1545,103058.48
1546,136598.45
1547,141154.95
1548,131806.62
1549,120410.49
1550,153053.66
1551,120807.46
1552,148293.47
1553,158822.12
1554,112336.77
1555,154287.36
1556,65986.55
1557,116214.66
1558,95549.91
1559,112751.69
1560,124684.43
1561,165719.6
1562,96031.66
1563,94184.445
1564,127956.27
1565,149229.36
1566,225467.81
1567,77072.44
1568,201643.36
1569,111517.125
1570,136777.2
1571,126623.29
1572,148113.75
1573,241071.97
1574,117763.86
1575,191555.1
1576,230849.98
1577,199766.97
1578,148810.28
1579,154951.97
1580,183356.36
1581,148356.92
1582,130684.75
1583,329495.3
1584,234719.7
1585,141028.56
